Remember these Shortcuts
Smart code completion , Ctrl + Shift + Space
Search everywhere,  Double Shift
Show intention actions and quick-fixes,  Alt + Enter
Generate code , Alt + Ins
Parameter info , Ctrl + P
Extend selection , Ctrl + W
Shrink selection , Ctrl + Shift + W
Recent files popup,  Ctrl + E
Rename , Shift + F6


General
Open corresponding tool window  ,  Alt + #[0-9]
Save all  ,  Ctrl + S
Synchronize  ,  Ctrl + Alt + Y
Toggle maximizing editor  , Ctrl + Shift + F12
Inspect current file with current profile  , Alt + Shift + I
Quick switch current scheme  , Ctrl + BackQuote (`)
Open Settings dialog ,  Ctrl + Alt + S
Open Project Structure dialog ,  Ctrl + Alt + Shift + S
Find Action ,  Ctrl + Shift + A


Debugging
Step over / into  ,  F8 / F7
Smart step into/Step out  , Shift + F7 / Shift + F8
Run to cursor  ,  Alt + F9
Evaluate expression ,  Alt + F8
Resume program  , F9
Toggle breakpoint  , Ctrl + F8
View breakpoints  , Ctrl + Shift + F8



Search / Replace
Search everywhere  , Double Shift
Find  , Ctrl + F
Find next /previous ,  F3 / Shift + F3
Replace ,  Ctrl + R
Find in path  , Ctrl + Shift + F
Replace in path  , Ctrl + Shift + R
Select next occurrence  , Alt + J
Select all occurrences  , Ctrl + Alt + Shift + J
Unselect occurrence  , Alt + Shift + J


Editing
Basic code completion   , Ctrl + Space
Smart code completion   , Ctrl + Shift + Space
Complete statement   , Ctrl + Shift + Enter
Parameter info (within method call arguments)  ,  Ctrl + P
Quick documentation lookup   , Ctrl + Q
External Doc   , Shift + F1
Brief Info  , Ctrl +mouse
Show descriptions of error at caret  ,  Ctrl + F1
Generate code...   , Alt + Insert
Override methods   , Ctrl + O
Implement methods   , Ctrl + I
Surroundwith…   ,  Ctrl + Alt + T
Comment /uncomment with line comment  ,  Ctrl + /
Comment /uncomment with block comment   , Ctrl + Shift + /
Extend selection   , Ctrl + W
Shrink selection   , Ctrl + Shift + W
Context info   , Alt + Q
Show intention actions and quick-fixes   , Alt + Enter
Reformat code   , Ctrl + Alt + L
Optimize imports   , Ctrl + Alt + O
Auto-indent line(s)   , Ctrl + Alt + I
Indent /unindent selected lines   , Tab / Shift + Tab
Cut current line to clipboard  , Ctrl + X , Shift +Delete
Copy current line to clipboard  , Ctrl + C , Ctrl + Insert
Paste from clipboard  , Ctrl + V , Shift + Insert
Paste from recent buffers...  , Ctrl + Shift + V
Duplicate current line , Ctrl + D
Delete line at caret , Ctrl + Y
Smart line join , Ctrl + Shift + J
Smart line split , Ctrl + Enter
Start new line ,  Shift + Enter
Toggle case for word at caret or selected block  , Ctrl + Shift + U
Select till code block end / start  , Ctrl + Shift + ] / [
Delete to word end  , Ctrl + Delete
Delete to word start  , Ctrl + Backspace
Expand/collapse code block  , Ctrl + NumPad+ / -
Expand all , Ctrl+ Shift+NumPad+
Collapse all , Ctrl+Shift+NumPad-
Close active editor tab   ,   Ctrl + F4


Refactoring
Copy   ,  F5
Move   ,  F6
Safe Delete   ,  Alt + Delete
Rename   ,  Shift + F6
Refactor this   ,  Ctrl + Alt + Shift + T
Change Signature   ,  Ctrl + F6
Inline  ,   Ctrl + Alt + N
Extract Method   ,  Ctrl + Alt + M
Extract Variable   ,  Ctrl + Alt + V
Extract Field   ,  Ctrl + Alt + F
Extract Constant  ,   Ctrl + Alt + C
Extract Parameter   ,  Ctrl + Alt + P




Navigation
Go to class   ,  Ctrl + N
Go to file   ,  Ctrl + Shift + N
Go to symbol   ,  Ctrl + Alt + Shift + N
Go to next /previous editor tab   ,  Alt + Right/Left
Go back to previous tool window   ,  F12
Go to editor (from tool window)   ,  Esc
Hide active or last active window  ,   Shift + Esc
Go to line  ,  Ctrl + G
Recent files popup  ,  Ctrl + E
Navigate back / forward  ,  Ctrl+Alt + Left/Right
Navigate to last edit location  ,  Ctrl+Shift+Backspace
Select current file or symbol in any view   ,  Alt + F1
Go to declaration   ,  Ctrl + B , Ctrl + Click
Go to implementation(s) ,  Ctrl + Alt + B
Open quick definition lookup  , Ctrl + Shift + I
Go to type declaration  , Ctrl + Shift + B
Go to super-method/ super-class  , Ctrl + U
Go to previous /next method  , Alt + Up/Down
Move to code block end/ start  , Ctrl + ]/[
File structure popup  , Ctrl + F12
Type hierarchy  , Ctrl + H
Method hierarchy ,  Ctrl + Shift + H
Call hierarchy  , Ctrl + Alt + H
Next /previous highlighted error  , F2 / Shift + F2
Edit source/View source  , F4 / Ctrl + Enter
Show navigation bar ,  Alt + Home
Toggle bookmark ,  F11
Toggle bookmark with mnemonic  , Ctrl + F11
Go to numbered bookmark ,  Ctrl + #[0-9]
Show bookmarks  , Shift + F11



Compile and Run
Make project  , Ctrl + F9
Compile selected file, package or module ,  Ctrl + Shift + F9
Select configuration and run/debug ,  Alt + Shift + F10/F9
Run/Debug ,  Shift + F10 / F9
Run context configuration from editor ,  Ctrl + Shift + F10


Usage Search
Find usages /Find usages in file ,  Alt + F7 / Ctrl + F7
Highlight usages in file  , Ctrl + Shift + F7
Show usages  , Ctrl + Alt + F7


VCS / Local History
Commit project to VCS ,  Ctrl + K
Update project from VCS  , Ctrl + T
Push commits  , Ctrl + Shift + K
‘VCS’ quick popup ,  Alt + BackQuote (`)


Live Templates
Surround with Live Template  , Ctrl + Alt + J
Insert Live Template ,  Ctrl + J








记住这些快捷方式
智能代码完成，Ctrl + Shift + Space
到处搜索，双班
显示意图操作和快速修复，Alt + Enter
生成代码，Alt + Ins
参数信息，Ctrl + P.
扩展选择，Ctrl + W.
收缩选择，Ctrl + Shift + W.
最近的文件弹出，Ctrl + E.
重命名，Shift + F6


一般
打开相应的工具窗口，Alt +＃[0-9]
全部保存，按Ctrl + S.
同步，Ctrl + Alt + Y.
切换最大化编辑器，Ctrl + Shift + F12
使用当前配置文件Alt + Shift + I检查当前文件
快速切换当前方案，Ctrl + BackQuote（`）
“打开设置”对话框，Ctrl + Alt + S.
打开“项目结构”对话框，按Ctrl + Alt + Shift + S.
查找操作，按Ctrl + Shift + A.


调试
步入/进入，F8 / F7
智能步入/退出，Shift + F7 / Shift + F8
运行到光标，Alt + F9
评估表达式，Alt + F8
简历程序，F9
切换断点，Ctrl + F8
查看断点，Ctrl + Shift + F8



搜索/替换
到处搜索，双班
查找，按Ctrl + F.
查找下一个/上一个，F3 / Shift + F3
替换，Ctrl + R.
在路径中查找，按Ctrl + Shift + F.
在路径中替换，Ctrl + Shift + R.
选择下一个匹配项，Alt + J.
选择所有匹配项，Ctrl + Alt + Shift + J.
